experiment,context,sigma_label,method,count,alignment_mean,M_trace,M_mu,T,mu_norm_sigma,mu_norm_sigma_inv,alignment_metric,panel,d,n,M_iso,mu_norm_l2,alpha,mu_direction
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9536636627291672,0.6851289698253021,6.293961408377439,35.843451960091556,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9685180638819377,0.342564484912651,6.293961408377439,37.18856525876858,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,400.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9752352042558801,0.1524106449890282,6.293961408377439,37.89970487074476,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,800.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9773560077430602,0.082961847020354,6.293961408377439,38.142834087516334,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,1200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9796075594215106,0.0385571822256526,6.293961408377439,38.3395950013187,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,2000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9809745274114668,0.0209878716383017,6.293961408377439,38.43873867440857,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,3000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9950171561414024,0.45207192968474075,6.293961408377439,38.440176890981654,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,50.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9959222123083128,0.208331721996662,6.293961408377439,38.539119263349626,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,100.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9964049911027786,0.0971134237986157,6.293961408377439,38.58878169881264,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9966518444400428,0.0351732366856229,6.293961408377439,38.6136609446453,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,400.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9968454884653312,0.0124356170883417,6.293961408377439,38.62611260169006,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,800.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9970254210472678,0.0067690925562382005,6.293961408377439,38.63026493878872,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,1200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9970766119787686,0.0031459899287095998,6.293961408377439,38.633587451309346,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,2000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9970863644717098,0.0017124600136163002,6.293961408377439,38.63524892190093,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,3000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9964333969319117,0.051092193135772804,6.293961408377439,38.59521248010208,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,50.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9964951073080076,0.0235452012780011,6.293961408377439,38.61688021465653,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,100.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9968631200407332,0.0109755494181095,6.293961408377439,38.62772320785604,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_d_vary_n,20000.0,200.0,,6.293961408377439,,
